Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   123 MBytes  1.03 Gbits/sec    0    146 KBytes       
[  6]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0    285 KBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0    426 KBytes       
[  6]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0    565 KBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0    700 KBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0    837 KBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0    979 KBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   1.09 MBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   1.22 MBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   1.35 MBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   1.48 MBytes       
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   1.62 MBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.78 MBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.91 MBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   2.07 MBytes       
[  6]  15.00-16.00  sec  42.0 MBytes   353 Mbits/sec    0   2.23 MBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   2.47 MBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   2.87 MBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   3.34 MBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   3.85 MBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   4.41 MBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   5.02 MBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   5.60 MBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   6.30 MBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   7.05 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   7.74 MBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   8.55 MBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   9.55 MBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   10.6 MBytes       
[  6]  29.00-30.00  sec  41.9 MBytes   351 Mbits/sec  226   10.8 MBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec  794   8.71 MBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  805   7.24 MBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  250   7.97 MBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   7.97 MBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   7.99 MBytes       
