- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
iperf3: interrupt - the client has terminated
Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 55370 connected to 192.168.3.2 port 10021
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   124 MBytes  1.04 Gbits/sec    0   1.88 MBytes       
[  6]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   3.89 MBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   5.49 MBytes       
[  6]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   7.75 MBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   9.85 MBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   11.3 MBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   12.8 MBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   14.4 MBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   16.2 MBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   17.8 MBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   64   19.4 MBytes       
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  669   16.7 MBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  554   14.4 MBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec  710   11.5 MBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  1203   8.75 MBytes       
[  6]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  1284   7.00 MBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  2701   9.86 MBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   9.86 MBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   9.86 MBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   9.86 MBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   9.86 MBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  361   9.36 MBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   9.36 MBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    7   9.35 MBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   9.35 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  425   8.87 MBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   37   8.82 MBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  193   8.55 MBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   84   8.43 MBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  383   7.91 MBytes       
[  6]  30.00-31.00  sec  46.1 MBytes   387 Mbits/sec    0   7.58 MBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   23   6.56 MBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   5.57 MBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   4.93 MBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   4.94 MBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec   53   4.13 MBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   3.14 MBytes       
[  6]  47.00-48.00  sec  43.5 MBytes   365 Mbits/sec    2   2.47 MBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   2.47 MBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec  102   2.18 MBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   98   1.20 MBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec  400   1.14 MBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec   12    631 KBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    7    316 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    6   99.8 KBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   32   81.6 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    150 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0    169 KBytes       
[  6]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0    183 KBytes       
[  6]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    0    198 KBytes       
[  6]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    0    212 KBytes       
[  6]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    0    225 KBytes       
[  6]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0    236 KBytes       
[  6]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    249 KBytes       
[  6]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0    260 KBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0    270 KBytes       
[  6]  68.00-69.00  sec  41.9 MBytes   351 Mbits/sec    0    280 KBytes       
[  6]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0    290 KBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0    300 KBytes       
