rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250824-22:30:48-60671),
0.159,0.004485755999999998
0.175,0.004322301799999999
0.175,0.0040219456
0.189,0.0043556298
0.189,0.004044399399999998
0.19,0.004711947399999999
0.204,0.004303108999999999
0.218,0.0045071078
0.218,0.004205439599999999
0.233,0.004336123799999999
0.238,0.004100748199999998
0.24,0.004901601199999999
0.241,0.005309763199999999
0.241,0.004714181199999998
0.242,0.005234300199999999
0.243,0.0055719862
0.243,0.005047444199999999
0.244,0.005218264199999999
0.244,0.004433908199999999
0.245,0.005009329199999999
0.252,0.004134050199999999
0.253,0.004344465199999999
0.254,0.004492440199999999
0.255,0.004737968199999999
0.258,0.004254407199999999
0.259,0.004368639199999999
0.26,0.0044993832
0.261,0.0046849852
0.262,0.005162404199999999
0.262,0.004538082199999999
0.263,0.004153741199999999
0.264,0.0040190082
0.266,0.004031602199999999
0.268,0.0041758452
0.271,0.0040482312
0.273,0.004766740199999999
0.275,0.004766624199999999
0.276,0.005070780199999999
0.276,0.004284915199999999
0.277,0.0045763252
0.278,0.005145769199999998
0.278,0.0043919032
0.279,0.0047720082
0.28,0.005373766199999999
0.28,0.005051487199999999
0.281,0.0052652892
0.282,0.005540615199999999
0.282,0.0050615742
0.283,0.005167935199999999
0.283,0.004368169199999999
0.284,0.004631414199999999
0.285,0.005242072199999999
0.286,0.004604062199999999
0.287,0.0041988522
0.288,0.004026230199999999
0.289,0.004056572199999998
0.29,0.004013011799999998
0.293,0.004039569199999998
0.295,0.004416740199999999
0.297,0.0048798712
0.298,0.005429659199999999
0.298,0.0050696652
0.299,0.005493537199999998
0.3,0.006127634199999999
0.3,0.005647709199999999
0.301,0.006278412199999999
0.301,0.005735597199999999
0.302,0.006367131199999999
0.303,0.007085963199999999
0.303,0.006667540199999998
0.304,0.007360128199999999
0.304,0.007074659199999999
0.305,0.006433902199999999
0.306,0.007006724199999999
0.306,0.006399939199999999
0.307,0.007014288199999999
0.307,0.006437174199999999
0.308,0.0070366452
0.309,0.007450712199999999
0.309,0.007065273199999999
0.31,0.007130074199999999
0.31,0.006542674199999999
0.311,0.007155813199999999
0.312,0.007305460199999998
0.312,0.005442399199999999
0.313,0.005277504199999999
0.319,0.004521914199999999
0.32,0.004997451199999999
0.321,0.005372432199999999
0.321,0.004825780199999999
0.322,0.005440865199999998
0.323,0.0060630492
0.323,0.005319038199999999
0.324,0.005813234199999999
0.324,0.0054516102
0.325,0.0061072772
0.326,0.004703123199999999
0.327,0.005248967199999999
0.327,0.0046659122
0.328,0.005296303199999999
0.329,0.005757319199999999
0.329,0.005389335199999999
0.33,0.0060521102
0.33,0.005178654199999998
0.331,0.005610911199999998
0.332,0.006252829199999998
0.332,0.005712159199999998
0.333,0.006361534199999999
0.333,0.006029992199999998
0.334,0.006497859199999999
0.335,0.007144976199999999
0.335,0.006647626199999999
0.336,0.007309258199999999
0.336,0.006766401199999999
0.337,0.007424692199999999
0.338,0.008099936199999997
0.338,0.006772495199999999
0.339,0.007374973199999999
0.339,0.007038849199999998
0.34,0.007440782199999999
0.341,0.008079942199999998
0.341,0.007513449199999999
0.342,0.008157273199999998
0.342,0.007647397199999999
0.343,0.008287350199999998
0.344,0.009016457199999997
0.344,0.008202439199999998
0.345,0.0086202462
0.346,0.0092621282
0.346,0.008675829199999998
0.347,0.009200227199999997
0.347,0.0082455622
0.348,0.008083298199999998
0.349,0.008167200199999998
0.349,0.004064732199999998
0.351,0.004214452199999999
0.352,0.0044785312
0.353,0.005063678199999999
0.353,0.004485150199999999
0.354,0.0051064222
0.355,0.005501462199999999
0.355,0.005137976199999999
0.356,0.005678202199999999
0.356,0.0053281122
0.357,0.005779693199999999
0.358,0.006415954199999998
0.358,0.006080642199999999
0.359,0.0046283582
0.36,0.005222291199999999
0.36,0.004676783199999999
0.361,0.0053200512
0.362,0.0057945892
0.362,0.0054415612
0.363,0.006111319199999999
0.363,0.005287778199999999
0.364,0.005719073199999999
0.365,0.006347428199999999
0.365,0.0060167642
0.366,0.006456963199999998
0.366,0.006106219199999998
0.367,0.006578473199999998
0.368,0.0072382352
0.368,0.006729961199999998
0.369,0.0073862692
0.369,0.007066219199999999
0.37,0.007434797199999999
0.371,0.008076681199999997
0.371,0.006154207199999999
0.372,0.006530032199999999
0.372,0.006163343199999999
0.373,0.006627907199999999
0.374,0.007268620199999999
0.374,0.006756615199999999
0.375,0.007402254199999999
0.375,0.007068016199999999
0.376,0.006441825199999999
0.377,0.006069748199999998
0.387,0.004302936199999999
0.388,0.004267807199999999
0.389,0.004344305199999998
0.392,0.0047274272
0.393,0.005047911199999999
0.393,0.004114196199999999
0.394,0.0041560082
0.395,0.004349314199999999
0.396,0.004011788199999999
0.398,0.004687511199999999
0.399,0.005002420199999999
0.399,0.0040488512
0.4,0.0040740962
0.401,0.004117754199999998
0.403,0.0043014382
0.404,0.004014385199999999
0.405,0.004003450199999999
0.407,0.004174508199999999
0.408,0.0040723892
0.41,0.0048028502
0.411,0.0051363572
0.411,0.0043691362
0.412,0.004482685199999999
0.413,0.005080846199999999
0.414,0.004365828199999999
0.415,0.004784833199999999
0.416,0.005413690199999999
0.416,0.005072461199999999
0.417,0.0055119712
0.418,0.006145503199999999
0.418,0.0056258252
0.419,0.0062572592
0.419,0.005369830199999999
0.42,0.006002632199999999
0.421,0.006444699199999999
0.421,0.006086568199999999
0.422,0.006532408199999999
0.422,0.006153557199999999
0.423,0.0065779432
0.424,0.007206326199999999
0.424,0.0059974512
0.426,0.004100335199999999
0.428,0.004430840199999999
0.43,0.004745320199999999
0.431,0.005234124199999998
0.431,0.004553831199999998
0.432,0.005068478199999998
0.433,0.005526685199999999
0.433,0.005144820199999998
0.434,0.005623951199999999
0.434,0.005269958199999999
0.435,0.005780672199999999
0.436,0.006409269199999999
0.436,0.006074292199999999
0.437,0.004387164199999999
0.438,0.004783516199999998
0.439,0.005408540199999999
0.439,0.005072481199999999
0.44,0.005539074199999998
0.441,0.006182975199999999
0.441,0.0053278322
0.442,0.005740647199999998
0.442,0.005372935199999999
0.443,0.004455347199999999
0.445,0.004580469199999999
0.449,0.004359729199999998
0.45,0.004118017199999999
0.452,0.004937697199999998
0.453,0.005531148199999998
0.453,0.005188213199999999
0.454,0.005725404199999999
0.455,0.006370168199999999
0.455,0.0059974512
0.456,0.006425286199999999
0.456,0.006079484199999998
0.457,0.006559015199999998
0.458,0.007204611199999998
0.458,0.006740892199999999
0.459,0.0073947652
0.459,0.007063184199999999
0.46,0.006452361199999999
0.461,0.007060675199999999
0.461,0.006515266199999999
0.462,0.0071546322
0.462,0.006507249199999998
0.463,0.007111186199999999
0.464,0.0075500402
0.464,0.007179295199999999
0.465,0.007235144199999999
0.465,0.006660529199999999
0.466,0.0072361352
0.467,0.007441142199999998
0.467,0.007056405199999999
