SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250824-22:30:48-60671),
0.154514244,0
0.155,0
0.1706776982,0
0.1709780544,0
0.171,0
0.171,0
0.1846443702,0
0.1849556006,0
0.185,0
0.185,0
0.1852880526,0
0.186,0
0.199696891,0
0.2,0
0.2134928922,0
0.2137945604,0
0.214,0
0.214,0
0.2286638762,0
0.229,0
0.2338992518,1
0.234,0
0.2350983988,1
0.2356902368,2
0.236,1
0.2362858188,2
0.2367656998,3
0.237,2
0.237,1
0.2374280138,2
0.2379525558,3
0.238,2
0.2387817358,3
0.239,2
0.239,1
0.2395660918,2
0.2399906708,3
0.24,2
0.24,1
0.241,0
0.2478659498,1
0.248,0
0.2486555348,1
0.249,0
0.2495075598,1
0.25,0
0.2502620318,1
0.251,0
0.2537455928,1
0.254,0
0.2546313608,1
0.255,0
0.2555006168,1
0.256,0
0.2563150148,1
0.2568375958,2
0.257,1
0.2574619178,2
0.258,1
0.258,0
0.2588462588,1
0.259,0
0.2599809918,1
0.26,0
0.2619683978,1
0.262,0
0.2638241548,1
0.264,0
0.2669517688,1
0.267,0
0.2682332598,1
0.269,0
0.2702333758,1
0.2709292198,2
0.271,1
0.2717150848,2
0.272,1
0.272,0
0.2724236748,1
0.2728542308,2
0.273,1
0.2736080968,2
0.274,1
0.274,0
0.2742279918,1
0.2746262338,2
0.2749485128,3
0.275,2
0.2757347108,3
0.276,2
0.276,1
0.2764593848,2
0.2769384258,3
0.277,2
0.2778320648,3
0.278,2
0.278,1
0.2786318308,2
0.279,1
0.279,0
0.2793685858,1
0.2797579278,2
0.28,1
0.281,0
0.2813959378,1
0.282,0
0.2828011478,1
0.283,0
0.2839737698,1
0.284,0
0.2849434278,1
0.285,0
0.2859869882,0
0.286,0
0.2889604308,1
0.289,0
0.2905832598,1
0.291,0
0.2921201288,1
0.2925703408,2
0.2929303348,3
0.293,2
0.2935064628,3
0.2938723658,4
0.294,3
0.294,2
0.2943522908,3
0.2947215878,4
0.295,3
0.2952644028,4
0.2956328688,5
0.2959140368,6
0.296,5
0.296,4
0.2963324598,5
0.2966398718,6
0.2969253408,7
0.297,6
0.297,5
0.298,4
0.2985660978,5
0.2989932758,6
0.299,5
0.299,4
0.2996000608,5
0.2999857118,6
0.3,5
0.3,4
0.3005628258,5
0.3009633548,6
0.301,5
0.3015492878,6
0.3019347268,7
0.302,6
0.302,5
0.3028699258,6
0.303,5
0.303,4
0.3034573258,5
0.3038441868,6
0.304,5
0.3046945398,6
0.305,5
0.305,4
0.306,3
0.306,2
0.3065576008,3
0.307,2
0.3077224958,3
0.308,2
0.308,1
0.309,0
0.3144780858,1
0.315,0
0.3150025488,1
0.3156275678,2
0.316,1
0.3161742198,2
0.3165591348,3
0.3169369508,4
0.317,3
0.317,2
0.3176809618,3
0.318,2
0.3181867658,3
0.3185483898,4
0.3188927228,5
0.319,4
0.319,3
0.32,2
0.32,1
0.321,0
0.3212968768,1
0.3217510328,2
0.322,1
0.3223340878,2
0.3227036968,3
0.323,2
0.323,1
0.3232426808,2
0.3236106648,3
0.3239478898,4
0.324,3
0.3248213458,4
0.325,3
0.325,2
0.3253890888,3
0.3257471708,4
0.326,3
0.326,2
0.3262878408,3
0.3266384658,4
0.3269700078,5
0.327,4
0.3275021408,5
0.3278550238,6
0.328,5
0.328,4
0.3283523738,5
0.3286907418,6
0.329,5
0.329,4
0.3292335988,5
0.3295753078,6
0.3299000638,7
0.33,6
0.331,5
0.331,4
0.3312275048,5
0.3316250268,6
0.3319611508,7
0.332,6
0.332,5
0.3325592178,6
0.3329200578,7
0.333,6
0.3334865508,7
0.3338427268,8
0.334,7
0.334,6
0.3343526028,7
0.3347126498,8
0.3349835428,9
0.335,8
0.335,7
0.3357975608,8
0.336,7
0.3363797538,8
0.3367378718,9
0.337,8
0.337,7
0.3373241708,8
0.3377997728,9
0.338,8
0.338,7
0.3387544378,8
0.339,7
0.3399167018,8
0.34,7
0.34,6
0.3408327998,7
0.341,6
0.342,5
0.342,4
0.343,3
0.343,2
0.344,1
0.3449352678,2
0.345,1
0.345,0
0.3467855478,1
0.347,0
0.3475214688,1
0.3479363218,2
0.348,1
0.3485148498,2
0.3488935778,3
0.349,2
0.349,1
0.3494985378,2
0.3498620238,3
0.35,2
0.3503217978,3
0.3506718878,4
0.351,3
0.351,2
0.3512203068,3
0.3515840458,4
0.3519193578,5
0.352,4
0.352,3
0.353,2
0.354,1
0.354,0
0.3543716418,1
0.3547777088,2
0.355,1
0.3553232168,2
0.3556799488,3
0.356,2
0.356,1
0.3562054108,2
0.3565584388,3
0.3568886808,4
0.357,3
0.3577122218,4
0.358,3
0.358,2
0.3582809268,3
0.3586525718,4
0.3589832358,5
0.359,4
0.359,3
0.3595430368,4
0.3598937808,5
0.36,4
0.3604215268,5
0.3607617648,6
0.361,5
0.361,4
0.3612700388,5
0.3616137308,6
0.3619337808,7
0.362,6
0.362,5
0.3625652028,6
0.3629233188,7
0.363,6
0.364,5
0.364,4
0.3648457928,5
0.365,4
0.365,3
0.3654699678,4
0.3658366568,5
0.366,4
0.3663720928,5
0.3667313798,6
0.367,5
0.367,4
0.3672433848,5
0.3675977458,6
0.3679319838,7
0.368,6
0.368,5
0.369,4
0.3695581748,5
0.37,4
0.37,3
0.3709302518,4
0.371,3
0.371,2
0.372,1
0.373,0
0.3826970638,1
0.383,0
0.3837321928,1
0.384,0
0.3846556948,1
0.385,0
0.3872725728,1
0.3879520888,2
0.388,1
0.3888858038,2
0.389,1
0.389,0
0.3898439918,1
0.39,0
0.3906506858,1
0.391,0
0.3919882118,1
0.392,0
0.3933124888,1
0.3939975798,2
0.394,1
0.3949511488,2
0.395,1
0.395,0
0.3959259038,1
0.396,0
0.3968822458,1
0.397,0
0.3986985618,1
0.399,0
0.3999856148,1
0.4,0
0.4009965498,1
0.401,0
0.4028254918,1
0.403,0
0.4039276108,1
0.404,0
0.4051971498,1
0.4058636428,2
0.406,1
0.4066308638,2
0.407,1
0.407,0
0.4075173148,1
0.4079191538,2
0.408,1
0.409,0
0.4096341718,1
0.41,0
0.4102151668,1
0.4105863098,2
0.4109275388,3
0.411,2
0.4114880288,3
0.4118544968,4
0.412,3
0.412,2
0.4123741748,3
0.4127427408,4
0.413,3
0.4136301698,4
0.4139973678,5
0.414,4
0.414,3
0.4145553008,4
0.4149134318,5
0.415,4
0.415,3
0.4154675918,4
0.4158464428,5
0.416,4
0.4164220568,5
0.4167936738,6
0.417,5
0.417,4
0.418,3
0.418,2
0.4180025488,3
0.419,2
0.42,1
0.42,0
0.4218996648,1
0.422,0
0.4235691598,1
0.424,0
0.4252546798,1
0.4257658758,2
0.426,1
0.4264461688,2
0.4269315218,3
0.427,2
0.427,1
0.4274733148,2
0.4278551798,3
0.428,2
0.4283760488,3
0.4287300418,4
0.429,3
0.429,2
0.4292193278,3
0.4295907308,4
0.4299257078,5
0.43,4
0.43,3
0.431,2
0.432,1
0.432,0
0.4326128358,1
0.433,0
0.4332164838,1
0.4335914598,2
0.4339275188,3
0.434,2
0.4344609258,3
0.4348170248,4
0.435,3
0.435,2
0.4356721678,3
0.436,2
0.4362593528,3
0.4366270648,4
0.437,3
0.437,2
0.438,1
0.438,0
0.4385446528,1
0.439,0
0.4404195308,1
0.441,0
0.4446402708,1
0.445,0
0.4458819828,1
0.446,0
0.4470623028,1
0.4474688518,2
0.4478117868,3
0.448,2
0.4482745958,3
0.4486298318,4
0.449,3
0.449,2
0.4490025488,3
0.4495747138,4
0.4499205158,5
0.45,4
0.4504409848,5
0.4507953888,6
0.451,5
0.451,4
0.4512591078,5
0.4516052348,6
0.4519368158,7
0.452,6
0.452,5
0.453,4
0.4535476388,5
0.4539393248,6
0.454,5
0.454,4
0.4544847338,5
0.4548453678,6
0.455,5
0.455,4
0.4554927508,5
0.4558888138,6
0.456,5
0.4564499598,6
0.4568207048,7
0.457,6
0.457,5
0.4577648558,6
0.458,5
0.458,4
0.4583394708,5
0.4587638648,6
0.459,5
0.4595588578,6
0.4599435948,7
0.46,6
0.46,5
0.4605256588,6
0.4608996238,7
0.461,6
0.461,5
0.4614541428,6
0.4618196818,7
0.462,6
0.4624143308,7
0.4627828668,8
0.463,7
0.463,6
0.464,5
0.464,4
0.4647019328,5
0.465,4
0.4653361088,5
0.4657000898,6
0.466,5
0.466,4
0.4662129988,5
0.4665683528,6
0.4668993118,7
0.467,6
0.4674247918,7
0.4677654398,8
0.468,7
0.468,6
0.4685991408,7
0.4689556658,8
0.469,7
0.469,6
0.4695084008,7
0.4698684008,8
0.47,7
0.4707437948,8
0.471,7
0.471,6
0.472,5
0.472,4
0.473,3
0.4735678218,4
0.474,3
0.474,2
0.475,1
0.475,0
0.4788496418,1
0.479,0
0.4801560018,1
0.4805715268,2
0.4809265868,3
0.481,2
0.4814192658,3
0.4817874588,4
0.482,3
0.482,2
0.4823429558,3
0.4827054968,4
0.483,3
0.4832426748,4
0.4836030608,5
0.4839328608,6
0.484,5
0.484,4
0.4844168838,5
0.4848110248,6
0.485,5
0.485,4
0.486,3
0.4867252818,4
0.487,3
0.487,2
0.4873093928,3
0.4876754838,4
0.488,3
0.488,2
0.4882090408,3
0.4885636468,4
0.4888951808,5
0.489,4
0.4894214478,5
0.4897651798,6
0.49,5
0.49,4
0.4906557108,5
0.4909939388,6
0.491,5
0.491,4
0.4915194628,5
0.4918650758,6
0.492,5
0.4924147888,6
0.4927572258,7
0.493,6
0.493,5
0.4932761128,6
0.4936192778,7
0.4939372788,8
0.494,7
0.494,6
0.4944529148,7
0.4947903338,8
0.495,7
0.4953196008,8
0.4956921028,9
0.496,8
0.496,7
0.497,6
0.497,5
0.4976487378,6
0.498,5
0.4983195108,6
0.4986877208,7
0.499,6
0.499,5
0.4992081088,6
0.4995641238,7
0.4999001868,8
0.5,7
0.5004099658,8
0.5007492328,9
0.501,8
0.501,7
0.5016086918,8
0.5019696058,9
0.502,8
0.502,7
0.5025144078,8
0.5028688348,9
0.503,8
0.5034593608,9
0.5038232358,10
0.504,9
0.504,8
0.5048790148,9
0.505,8
0.505,7
0.506,6
0.5069311558,7
0.507,6
0.507,5
0.508,4
0.508,3
0.509,2
0.51,1
0.51,0
0.5136714288,1
0.514,0
0.5143989698,1
0.5148273748,2
0.515,1
0.5153506798,2
0.5157327808,3
0.516,2
0.516,1
0.5161951188,2
0.5165418948,3
0.5168733018,4
0.517,3
0.5173315878,4
0.5176782788,5
0.5179993868,6
0.518,5
0.518,4
0.519,3
0.519,2
0.52,1
0.5202424238,2
0.5206244748,3
0.5209624198,4
0.521,3
0.521,2
0.5215112058,3
0.5218656428,4
0.522,3
0.522,2
0.5224460828,3
0.5228000758,4
0.523,3
0.5236501158,4
0.5239975558,5
0.524,4
0.524,3
0.5245291598,4
0.5248887308,5
0.525,4
0.525,3
0.5255034938,4
0.5258662258,5
0.526,4
0.5264119878,5
0.5267657308,6
0.527,5
0.527,4
0.5272768748,5
0.5276268718,6
0.5279546048,7
0.528,6
0.528,5
0.5285394558,6
0.5288972328,7
0.529,6
0.53,5
0.53,4
0.5305297938,5
0.5308935048,6
0.531,5
0.531,4
0.5314542258,5
0.5318090038,6
0.532,5
0.5323566518,6
0.5327094558,7
0.533,6
0.533,5
0.5332254528,6
0.5335817218,7
0.5339142348,8
0.534,7
0.5348858918,8
0.535,7
0.535,6
0.5354643938,7
0.5358300198,8
0.536,7
0.536,6
0.5369119408,7
0.537,6
0.538,5
0.538,4
0.539,3
0.539,2
0.5396330228,3
0.54,2
0.541,1
0.541,0
0.5459290478,1
0.546,0
0.5464762858,1
0.5468654568,2
0.547,1
0.5473698418,2
0.5477411208,3
0.548,2
0.548,1
0.5482026758,2
0.5485824328,3
0.5489360528,4
0.549,3
0.5494038348,4
0.5497526258,5
0.55,4
0.55,3
0.5502975918,4
0.5506529258,5
0.5509811438,6
0.551,5
0.551,4
0.552,3
0.553,2
0.553,1
0.5533120548,2
0.554,1
0.554,0
0.5548509198,1
0.555,0
0.5584831698,1
0.559,0
0.5599528398,1
0.56,0
0.5608509278,1
0.561,0
0.5616218448,1
0.562,0
0.5638149178,1
0.564,0
0.5643885408,1
0.5647644548,2
0.565,1
0.5653048768,2
0.5656700278,3
0.566,2
0.566,1
0.5663054468,2
0.5668278188,3
0.567,2
0.5677130958,3
0.568,2
0.568,1
0.5682566948,2
0.5686109238,3
0.5689407978,4
0.569,3
0.569,2
0.5695036858,3
0.5698664838,4
0.57,3
0.5704204898,4
0.5707827638,5
0.571,4
0.571,3
0.5712928028,4
0.5716341798,5
0.5719509048,6
0.572,5
0.572,4
0.5724772348,5
0.5728150628,6
0.573,5
0.5736917078,6
