Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 59068 connected to 192.168.3.2 port 10021
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   248 MBytes  2.08 Gbits/sec    0   2.00 MBytes       
[  6]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   6.53 MBytes       
[  6]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   8.77 MBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   11.0 MBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   13.3 MBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   15.6 MBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   17.8 MBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec  731   15.1 MBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec  778   12.1 MBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec  784   8.98 MBytes       
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec  1594   7.05 MBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  2385   8.98 MBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   8.98 MBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec  192   8.22 MBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  452   6.47 MBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  452   4.72 MBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  452   4.28 MBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  261   3.92 MBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   4.49 MBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   17   4.47 MBytes       
[  6]  40.00-41.00  sec  85.2 MBytes   715 Mbits/sec  224   4.39 MBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  190   3.00 MBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   2.25 MBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   2.26 MBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   2.27 MBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   2.27 MBytes       
