SduHoldingQueue:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
2.4768728838,500
2.5775604278,500
2.6479069508,500
2.7064701008,500
2.7553532568,500
2.8004355498,500
2.8416415798,500
2.8789542908,500
2.9153463768,500
2.9482979538,500
2.9812988468,500
3.0093527908,500
3.0383810328,500
3.0657421498,500
3.0925956468,500
3.1186065358,500
3.1433047428,500
3.1684291698,500
3.1915645538,500
3.2143297998,500
3.2369686868,500
3.2582881878,500
3.2795986868,500
3.3004244648,500
3.3223748798,500
3.3409403028,500
3.3604719938,500
3.3798276348,500
3.3992936258,500
3.4172233508,500
3.4354979498,500
3.4542983898,500
3.4713540358,500
3.4886629658,500
3.5057093768,500
3.5226151658,500
3.5394405448,500
3.5557383298,500
3.5723588168,500
3.5879099448,500
3.6039119158,500
3.6195047108,500
3.6347295748,500
3.6523443688,500
3.6654895198,500
3.6799393728,500
3.6964940648,500
3.7095399438,500
3.7237287758,500
3.7402278288,500
3.7523663338,500
3.7664968558,500
3.7803104988,500
3.7953640758,500
3.8076129678,500
3.8212957028,500
3.8353001548,500
3.8477232558,500
3.8612518688,500
3.8736315388,500
3.8865886398,500
3.8993658768,500
3.9123251738,500
3.9245974598,500
3.9382728108,500
3.9497574218,500
3.9618044478,500
3.9745005318,500
3.9865537898,500
3.9982669658,500
4.0104324488,500
4.0224049968,500
4.0337809828,500
4.0457316438,500
4.0593634368,500
4.0706648048,500
4.0827817538,500
4.0916699478,500
4.1048893798,500
4.1149745528,500
4.1253117738,500
4.1364929578,500
4.1477728008,500
4.1584738378,500
4.1694015048,500
4.1805834778,500
4.1915729808,500
4.2026911328,500
4.2134658098,500
4.2244999328,500
4.2355350598,500
4.2467851498,500
4.2546308448,500
4.2648453758,500
4.2753860388,500
4.2855016858,500
4.2957248768,500
4.3058158808,500
4.3158970578,500
4.3259828218,500
4.3363659968,500
4.3462534238,500
4.3563580308,500
4.3674733188,500
4.3754093448,500
4.3853736138,500
4.3952742358,500
4.4047803718,500
4.4145864618,500
4.4239570408,500
4.4336073728,500
4.4445918318,500
4.4525354698,500
4.4618741958,500
4.4714288428,500
4.4804751528,500
4.4897482628,500
4.4995072378,500
4.5105999788,500
4.5172583428,500
4.5264801968,500
4.5357474588,500
4.5445100518,500
4.5543434498,500
4.5627152688,500
4.5715630238,500
4.5803320598,500
4.5892570628,500
4.5983837398,500
4.6093014968,500
4.6156208808,500
4.6246511918,500
4.6334819248,500
4.6424474608,500
4.6503858338,500
4.6593531518,500
4.6675879218,500
4.6761960788,500
4.6865104038,500
4.6932272988,500
4.7015212618,500
4.7102042998,500
4.7194016468,500
4.7269055438,500
4.7353504528,500
4.7436034208,500
4.7524659898,500
4.7598763038,500
4.7682755348,500
4.7764989568,500
4.7853717228,500
4.7928129038,500
4.8007636038,500
4.8087722658,500
4.8183331488,500
4.8248944568,500
4.8333772318,500
4.8412526428,500
4.8488006468,500
4.8567319708,500
4.8648484558,500
4.8734771128,500
4.8804905748,500
4.8882594068,500
4.8959986938,500
4.9039466338,500
4.9117013638,500
4.9193508018,500
4.9284752188,500
4.9347717908,500
4.9425587938,500
4.9503962298,500
4.9577594048,500
4.9653173988,500
4.9731984668,500
4.9806325648,500
4.9879541108,500
4.9955674928,500
5.0054777278,500
5.0104407638,500
5.0179121978,500
5.0275702058,500
5.0336087908,500
5.0402329878,500
5.0488739478,500
5.0552825838,500
5.0623277388,500
5.0716477248,500
5.0768196178,500
5.0843250498,500
5.0935647838,500
5.0986339578,500
5.1059408798,500
5.1153656808,500
5.1203926718,500
5.1276063448,500
5.1344083758,500
5.1418113368,500
5.1489665128,500
5.1559463058,500
5.1632244988,500
5.1707122208,500
5.1769608708,500
5.1845890038,500
5.1924202908,500
5.1982273518,500
5.2049865608,500
5.2119026268,500
5.2188201278,500
5.2258108168,500
5.2325651228,500
5.2397396818,500
5.2474244368,500
5.2532810978,500
5.2603737368,500
5.2693437108,500
5.2738223988,500
5.2807689168,500
5.2872994568,500
5.2946113018,500
5.3025718158,500
5.3076692128,500
5.3143805898,500
5.3209553138,500
5.3276907168,500
5.3354846878,500
5.3413216818,500
5.3475999298,500
5.3543629358,500
5.3609954818,500
5.3685483118,500
5.3739637438,500
5.3807487968,500
5.3872334208,500
5.3936502938,500
5.4015407668,500
5.4067256218,500
5.4133592158,500
5.4197329048,500
5.4266736898,500
5.4345183078,500
5.4393004988,500
5.4453805658,500
5.4519893028,500
5.4582300488,500
5.4647292598,500
5.4713611778,500
5.4783443208,500
5.4837361528,500
5.4904750408,500
5.4963252258,500
5.5028026788,500
5.5088971708,500
5.5154992418,500
5.5224835348,500
5.5278038238,500
5.5339837388,500
5.5404860678,500
5.5466062818,500
5.5527888858,500
5.5588916558,500
5.5663551958,500
5.5712823718,500
5.5777435168,500
5.5837520758,500
5.5897766248,500
5.5958677258,500
5.6025522428,500
5.6103391958,500
5.6143743298,500
5.6213106508,500
5.6263594568,500
5.6326008668,500
5.6387333728,500
5.6449562528,500
5.6505699138,500
5.6565625328,500
5.6627544598,500
5.6688425028,500
5.6763171498,500
5.6805990718,500
5.6879838528,500
5.6925743698,500
5.6988019648,500
5.7044810068,500
5.7103793788,500
5.7165556978,500
5.7224924078,500
5.7283111868,500
5.7338250378,500
5.7399285218,500
5.7456639198,500
5.7533545028,500
5.7572135128,500
5.7646805458,500
5.7693811268,500
5.7756051388,500
5.7806876528,500
5.7864009498,500
5.7924691038,500
5.7979972678,500
5.8037795858,500
5.8095053938,500
5.8153118078,500
5.8212187158,500
5.8265839928,500
5.8324297128,500
5.8383264338,500
5.8438926268,500
5.8496067478,500
5.8557310138,500
5.8607582918,500
5.8666126078,500
5.8744694638,500
5.8778043908,500
5.8853734898,500
5.8889949448,500
5.8963653448,500
5.9003898848,500
5.9075446948,500
5.9113824698,500
5.9183741938,500
5.9225229118,500
5.9294684918,500
5.9339048988,500
5.9404415248,500
5.9448096368,500
5.9515173208,500
5.9562376468,500
5.9622983608,500
5.9668569708,500
5.9734331778,500
5.9779022998,500
5.9845226318,500
5.9888706258,500
5.9954910368,500
5.9997596988,500
6.0064428478,500
6.0105662538,500
6.0174523688,500
6.0216299238,500
6.0282990068,500
6.0323165138,500
6.0394096658,500
6.0433181258,500
6.0505487238,500
6.0538609808,500
6.0614815298,500
6.0647503168,500
6.0698791748,500
6.0757472198,500
6.0807468258,500
6.0879487748,500
6.0955543468,500
6.0966557908,500
6.1022638898,500
6.1074070118,500
6.1124667528,500
6.1204256798,500
6.1234235558,500
6.1283503398,500
6.1334866318,500
6.1387573558,500
6.1439846958,500
6.1492905548,500
6.1545420518,500
6.1611805068,500
6.1652945448,500
6.1718444918,500
6.1753532388,500
6.1823266848,500
6.1859718608,500
6.1937224298,500
6.1968126548,500
6.2014061528,500
6.2065785918,500
6.2118695608,500
6.2167824818,500
6.2218617968,500
6.2274625588,500
6.2325343138,500
6.2375776438,500
6.2425921128,500
6.2509119748,500
6.2536577168,500
6.2595123078,500
6.2628574828,500
6.2692587648,500
6.2734779158,500
6.2783975378,500
6.2834919218,500
6.2882911968,500
6.2934624508,500
6.2982249468,500
6.3037180688,500
6.3084660918,500
6.3143987808,500
6.3184119948,500
6.3257120978,500
6.3287360838,500
