rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.238,0.004945607999999998
0.254,0.0046101978
0.255,0.004456663599999998
0.27,0.004537960799999999
0.271,0.004548729399999999
0.271,0.0040960744
0.286,0.004450787999999998
0.301,0.004273325799999999
0.303,0.004807989599999999
0.318,0.004658531799999998
0.324,0.004804641199999999
0.325,0.004624160199999999
0.326,0.004573313199999999
0.327,0.004354502199999998
0.329,0.0040891152
0.334,0.004585785199999999
0.337,0.004508112199999999
0.341,0.004839858199999999
0.344,0.004614953199999998
0.347,0.004515063199999998
0.349,0.004429994199999998
0.351,0.0043260082
0.356,0.004326665199999999
0.357,0.004448321199999999
0.358,0.004475408199999999
0.359,0.004612554199999998
0.361,0.004249334199999999
0.364,0.004560735199999998
0.365,0.0048283782
0.366,0.005243359199999998
0.366,0.0044251202
0.367,0.004181460199999998
0.369,0.004123292199999999
0.371,0.004594921199999999
0.372,0.004506570199999998
0.374,0.004471408199999998
0.375,0.004347917199999998
0.376,0.004277685199999999
0.377,0.004268686199999999
0.379,0.004775714199999999
0.38,0.0051687442
0.38,0.004256496199999999
0.381,0.0042183562
0.382,0.0041206782
0.383,0.004175944799999999
0.385,0.004516419199999999
0.387,0.004645801199999998
0.388,0.0044823642
0.39,0.004293811199999998
0.391,0.004298353199999998
0.392,0.0043556962
0.393,0.004485960199999999
0.394,0.004667943199999999
0.395,0.005088880199999999
0.397,0.004416854199999998
0.399,0.004389399199999999
0.401,0.004843670199999998
0.402,0.005245102199999998
0.402,0.004343322199999999
0.403,0.004549953199999999
0.404,0.004703008199999999
0.405,0.005150389199999999
0.405,0.0043492332
0.407,0.004034421199999999
0.415,0.004771973199999999
0.416,0.004501263199999999
0.418,0.004410737199999998
0.419,0.004488272199999998
0.421,0.004696054199999999
0.422,0.0045088882
0.423,0.004141456199999999
0.426,0.004654592199999999
0.427,0.0046743992
0.428,0.005059754199999998
0.428,0.004210824199999999
0.429,0.004408471199999999
0.43,0.004098877199999999
0.431,0.004390148199999999
0.432,0.004756501199999998
0.433,0.005366764199999998
0.433,0.004736053199999999
0.434,0.005322051199999998
0.435,0.005755745199999998
0.435,0.005386290199999999
0.436,0.006105589199999998
0.436,0.005257878199999999
0.437,0.0056635282
0.438,0.006265147199999999
0.438,0.0056821362
0.439,0.006278061199999998
0.439,0.005744182199999999
0.44,0.006379558199999999
0.441,0.007015725199999999
0.441,0.0064701932
0.442,0.007053800199999999
0.442,0.006418813199999999
0.45,0.004399847199999999
0.453,0.004536033199999999
0.454,0.005041003199999999
0.454,0.004512799199999998
0.455,0.0051186462
0.456,0.005470744199999998
0.456,0.005095715199999999
0.457,0.0055929072
0.457,0.005232973199999999
0.458,0.0057780612
0.459,0.006413499199999998
0.459,0.006081750199999999
0.46,0.006557465199999999
0.46,0.006197551199999999
0.461,0.006346966199999999
0.462,0.006784406199999998
0.462,0.006417098199999998
0.463,0.007083008199999999
0.463,0.006487829199999999
0.464,0.007099761199999998
0.465,0.007512389199999998
0.465,0.007141966199999998
0.466,0.007600674199999999
0.466,0.007233794199999999
0.467,0.007728771199999999
0.468,0.008302053199999999
0.468,0.006597669199999999
0.469,0.007165581199999999
0.469,0.006512039199999999
0.47,0.007092848199999999
0.471,0.0075233282
0.471,0.007138871199999998
0.472,0.007539511199999999
0.473,0.008132720199999998
0.473,0.0070972962
0.474,0.007405228199999998
0.474,0.0069984312
0.475,0.007328585199999999
0.476,0.007629125199999999
0.476,0.007225074199999998
0.477,0.0076366942
0.477,0.007262833199999998
0.478,0.0076344432
0.479,0.004063916199999999
0.48,0.004457544199999999
0.481,0.0050778422
0.481,0.004171424199999999
0.482,0.004563031199999999
0.483,0.005185696199999999
0.483,0.004602700199999998
0.484,0.005237939199999999
0.485,0.005694016199999998
0.485,0.005312600199999999
0.486,0.005757691199999999
0.486,0.005363420199999999
0.487,0.0060254352
0.488,0.006447710199999999
0.488,0.006087494199999999
0.489,0.004489567199999999
0.49,0.005050328199999998
0.49,0.004481080199999999
0.491,0.005106443199999999
0.492,0.005539601199999999
0.492,0.005166103199999999
0.493,0.005277568199999999
0.493,0.004671781199999999
0.494,0.005248142199999999
0.495,0.005300220199999998
0.495,0.0041644222
0.496,0.004185618199999999
0.501,0.0048544772
0.502,0.0047649822
0.503,0.005130641199999999
0.503,0.0040009242
0.504,0.004471574199999999
0.505,0.005095811199999999
0.505,0.0045791332
0.506,0.005214079199999999
0.507,0.005658187199999999
0.507,0.0052909562
0.508,0.005719751199999999
0.508,0.0053581362
0.509,0.006008453199999999
0.51,0.006442672199999999
0.51,0.006082109199999999
0.511,0.005381356199999999
0.511,0.004997651199999999
0.512,0.005439545199999999
0.513,0.006097332199999999
0.513,0.005547781199999999
0.514,0.006188541199999999
0.514,0.005634256199999999
0.515,0.006276637199999999
0.516,0.006333378199999999
0.516,0.005761735199999999
0.517,0.006392441199999999
0.517,0.0060592292
0.518,0.006480579199999999
0.519,0.007132639199999998
0.519,0.006592567199999999
0.52,0.007206663199999999
0.52,0.006664643199999998
0.521,0.007305054199999999
0.522,0.007744167199999998
0.522,0.007371104199999999
0.523,0.008028505199999997
0.524,0.006684614199999999
0.524,0.006238967199999998
0.525,0.006691132199999999
0.525,0.006315383199999999
0.526,0.006758044199999998
0.527,0.007393264199999999
0.527,0.0060683752
0.528,0.005429999199999998
0.528,0.0042012252
0.53,0.0046556592
0.531,0.005039257199999999
0.534,0.004146663199999999
0.535,0.0045104202
0.536,0.005121907199999999
0.536,0.004155254199999999
0.537,0.004629279199999999
0.538,0.005257560199999998
0.538,0.004781061199999998
0.539,0.005427301199999999
0.54,0.006093357199999999
0.54,0.005566101199999999
0.541,0.006212593199999999
0.541,0.005697247199999999
0.542,0.006332657199999999
0.543,0.007000068199999999
0.543,0.006431108199999998
0.544,0.0070831542
0.544,0.005504139199999999
0.545,0.006135575199999999
0.546,0.006604390199999999
0.546,0.0062454972
0.547,0.006650397199999999
0.547,0.006281993199999998
0.548,0.006748535199999999
0.549,0.007394085199999999
0.549,0.007066968199999999
0.55,0.007148765199999998
0.55,0.006604079199999999
0.551,0.0072433402
0.552,0.007662133199999998
0.552,0.007301403199999998
0.553,0.007786571199999999
0.553,0.007447314199999999
0.554,0.0081195932
0.555,0.008666028199999998
0.555,0.008328730199999998
0.556,0.009011425199999999
0.557,0.009537323199999999
0.557,0.009185706199999997
0.558,0.0080460202
0.558,0.007422196199999999
0.559,0.008048427199999999
0.56,0.008531020199999999
0.56,0.008174286199999998
0.561,0.008617131199999999
0.561,0.008256117199999999
0.562,0.008071395199999997
0.563,0.007539046199999999
0.563,0.006266611199999999
0.564,0.006061031199999998
0.564,0.005049134199999999
0.568,0.004634117199999999
0.569,0.0051445802
0.569,0.004104184199999999
0.57,0.0046052252
0.571,0.005244244199999999
0.571,0.004769414199999998
0.572,0.0054099812
0.573,0.006076187199999999
0.573,0.0056087832
0.574,0.0062575992
0.574,0.005739251199999999
0.575,0.006364005199999999
0.576,0.007032231199999999
0.576,0.006470454199999999
0.577,0.007103170199999999
0.577,0.005454034199999999
0.578,0.006084904199999999
0.579,0.0065406882
0.579,0.006180695199999999
0.58,0.0066332782
0.58,0.006276891199999998
0.581,0.006751234199999999
0.582,0.0074026812
0.582,0.007079541199999999
0.583,0.007275283199999999
0.583,0.0066986522
0.584,0.007338937199999999
0.585,0.008007388199999999
0.585,0.007444536199999999
0.586,0.008100540199999998
0.586,0.007582454199999999
0.587,0.0082356812
0.588,0.008706737199999998
0.588,0.008365684199999997
0.589,0.009045090199999997
0.59,0.009506280199999998
0.59,0.009164077199999998
0.591,0.0080047442
0.591,0.0073982522
0.592,0.0080302592
0.593,0.0085007772
0.593,0.008146226199999998
0.594,0.008618966199999997
0.594,0.0082663122
0.595,0.0083007192
0.596,0.008733743199999997
0.596,0.008370903199999998
0.597,0.0090406962
0.597,0.008315851199999998
0.598,0.008543490199999999
0.599,0.008220519199999998
0.599,0.0071380252
0.603,0.004610675199999999
0.604,0.0050844332
0.604,0.0043892992
0.605,0.004997451199999999
0.606,0.005459897199999999
0.606,0.0051135842
0.607,0.005644965199999999
0.608,0.0062745852
0.608,0.005758930199999999
0.609,0.006397694199999999
0.609,0.006065663199999999
0.61,0.005123891199999999
0.611,0.005529512199999999
0.611,0.005152563199999999
0.612,0.0056081302
0.612,0.0052456402
0.613,0.0057262462
0.614,0.006360863199999998
0.614,0.006030618199999998
0.615,0.006086578199999999
0.615,0.005531939199999998
0.616,0.006173035199999999
0.617,0.006617471199999998
0.617,0.006263747199999999
0.618,0.0067206252
0.618,0.0063767192
0.619,0.0070591782
0.62,0.0075231072
0.62,0.0071780052
0.621,0.007662268199999999
0.621,0.0073082722
0.622,0.006704737199999999
0.623,0.007334677199999998
0.623,0.007002850199999998
0.624,0.007448605199999999
0.625,0.008078214199999999
0.625,0.007531500199999999
0.626,0.0081707172
0.626,0.0076258812
0.627,0.0082699442
0.628,0.008212736199999997
0.628,0.007025876199999999
0.629,0.006624054199999999
0.629,0.005556297199999999
0.63,0.0052850572
0.634,0.0045743182
0.635,0.005086800199999999
0.635,0.004188176199999999
0.636,0.004675400199999998
0.637,0.005302645199999999
0.637,0.004824784199999999
0.638,0.005446084199999999
0.639,0.0061155332
0.639,0.0056565872
0.64,0.006304452199999999
0.64,0.005729619199999999
0.641,0.006363314199999999
