rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.238,256.3025210083999345
0.254,448.8188976377999757
0.255,800
0.27,951.851851851849911
0.271,1158.671586715900043
0.271,2033.210332103300056
0.286,2139.860139860099472
0.301,2209.30232558139959
0.303,2491.749174917499652
0.318,2540.880503144700002
0.324,7101.851851851899455
0.325,11673.84615384599961
0.326,16217.79141104299921
0.327,20733.94495412799727
0.329,25145.89665653499825
0.334,29239.52095808399452
0.337,33409.49554896100002
0.341,37395.89442815199427
0.344,41409.88372092999625
0.347,45354.466858789994
0.349,49372.4928366759994
0.351,53344.72934472899925
0.356,56789.3258426969986
0.357,60812.32492997198985
0.358,64812.84916201099965
0.359,68791.08635097500505
0.361,72545.7063711909866
0.364,76049.45054945099375
0.365,79931.5068493149881
0.366,83792.34972677598105
0.366,87871.5846994539895
0.367,91700.2724795639804
0.369,95249.3224932249865
0.371,98760.1078167119992
0.372,102508.0645161299904
0.374,105951.8716577499869
0.375,109650.6666666700037
0.376,113329.787234040006
0.377,116989.3899204199838
0.379,120311.3456464399928
0.38,123923.6842105299872
0.38,127852.6315789499782
0.381,131435.6955380599825
0.382,135000
0.383,134785.9007832899803
0.385,137963.6363636399615
0.387,141108.5271317799921
0.388,144592.7835051500001
0.39,147679.4871794899803
0.391,151120.2046035800008
0.392,154543.3673469399795
0.393,157949.1094147599647
0.394,161337.5634517800058
0.395,164708.8607594899946
0.397,167639.7984886599583
0.399,170541.3533834599652
0.401,173413.9650872799681
0.402,176696.5174129399813
0.402,180410.447761190007
0.403,183667.4937965300043
0.404,186908.4158415799603
0.405,190133.3333333299956
0.405,193819.7530864200082
0.407,196535.6265356299696
0.415,196344.5783132499777
0.416,199461.5384615400102
0.418,202078.9473684199616
0.419,205159.9045346099877
0.421,207731.5914489299751
0.422,210777.251184829976
0.423,213808.51063829998
0.426,215807.5117370900108
0.427,218798.5948477800116
0.428,221775.7009345800026
0.428,225264.018691589997
0.429,228219.1142191099926
0.43,231160.4651162799557
0.431,234088.167053359967
0.432,237002.3148148100002
0.433,239903.0023094699712
0.433,243351.039260969962
0.434,246230.4147465399575
0.435,249096.5517241400077
0.435,252528.7356321800027
0.436,255373.8532110099907
0.436,258798.16513760999
0.437,261622.425629289995
0.438,264433.7899543399682
0.438,267842.4657534200225
0.439,270633.257403190014
0.439,274034.168564919964
0.44,276804.5454545499515
0.441,279562.358276639948
0.441,282947.8458049899195
0.442,285685.5203619899687
0.442,289063.348416290012
0.45,287242.2222222199187
0.453,288635.761589400004
0.454,291288.5462555099502
0.454,294577.0925110100062
0.455,297210.9890109900142
0.456,299833.3333333299952
0.456,303107.4561403499675
0.457,305711.1597374199182
0.457,308978.1181619300032
0.458,311563.318777289939
0.459,314137.2549019600255
0.459,317389.9782135100095
0.46,319945.6521739099402
0.46,323191.304347830009
0.461,325728.8503253799855
0.462,328255.4112554099405
0.462,331487.012987009947
0.463,333995.680345569969
0.463,337220.302375809987
0.464,339711.2068965500212
0.465,342191.397849460015
0.465,345402.1505376299602
0.466,347864.806866950005
0.466,351068.6695278999387
0.467,353513.9186295500245
0.468,355948.7179487199742
