SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
0.233054392,0
0.234,0
0.2493898022,0
0.25,0
0.2505433364,0
0.251,0
0.2654620392,0
0.266,0
0.2664512706,0
0.2669039256,0
0.267,0
0.267,0
0.281549212,0
0.282,0
0.2967266742,0
0.297,0
0.2981920104,0
0.299,0
0.3133414682,0
0.314,0
0.3191953588,1
0.32,0
0.3203758398,1
0.321,0
0.3214266868,1
0.322,0
0.3226454978,1
0.323,0
0.3249108848,1
0.325,0
0.3294142148,1
0.33,0
0.3324918878,1
0.333,0
0.3361601418,1
0.337,0
0.3393850468,1
0.34,0
0.3424849368,1
0.343,0
0.3445700058,1
0.345,0
0.3466739918,1
0.347,0
0.3516733348,1
0.352,0
0.3525516788,1
0.353,0
0.3535245918,1
0.354,0
0.3543874458,1
0.355,0
0.3567506658,1
0.357,0
0.3594392648,1
0.36,0
0.3601716218,1
0.3607566408,2
0.361,1
0.3615748798,2
0.362,1
0.362,0
0.3628185398,1
0.363,0
0.3648767078,1
0.365,0
0.3664050788,1
0.367,0
0.3674934298,1
0.368,0
0.3695285918,1
0.37,0
0.3706520828,1
0.371,0
0.3717223148,1
0.372,0
0.3727313138,1
0.373,0
0.3742242858,1
0.3748312558,2
0.375,1
0.3757435038,2
0.376,1
0.376,0
0.3767816438,1
0.377,0
0.3778793218,1
0.378,0
0.3788240552,0
0.379,0
0.3804835808,1
0.381,0
0.3823541988,1
0.383,0
0.3835176358,1
0.384,0
0.3857061888,1
0.386,0
0.3867016468,1
0.387,0
0.3876443038,1
0.388,0
0.3885140398,1
0.389,0
0.3893320568,1
0.3899111198,2
0.39,1
0.391,0
0.3925831458,1
0.393,0
0.3946106008,1
0.395,0
0.3961563298,1
0.3967548978,2
0.397,1
0.3976566778,2
0.398,1
0.398,0
0.3984500468,1
0.399,0
0.3992969918,1
0.3998496108,2
0.4,1
0.4006507668,2
0.401,1
0.401,0
0.4029655788,1
0.403,0
0.4102280268,1
0.411,0
0.4114987368,1
0.412,0
0.4135892628,1
0.414,0
0.4145117278,1
0.415,0
0.4163039458,1
0.417,0
0.4174911118,1
0.418,0
0.4188585438,1
0.419,0
0.4213454078,1
0.422,0
0.4223256008,1
0.4229402458,2
0.423,1
0.4237891758,2
0.424,1
0.424,0
0.4245915288,1
0.425,0
0.4259011228,1
0.426,0
0.4266098518,1
0.427,0
0.4272434988,1
0.4276332358,2
0.428,1
0.4282639468,2
0.4286779488,3
0.429,2
0.429,1
0.4292442548,2
0.4296137098,3
0.4298944108,4
0.43,3
0.4307421218,4
0.431,3
0.431,2
0.4313364718,3
0.4317348528,4
0.432,3
0.432,2
0.4323178638,3
0.4327219388,4
0.433,3
0.4332558178,4
0.4336204418,5
0.4339842748,6
0.434,5
0.434,4
0.4345298068,5
0.4349461998,6
0.435,5
0.435,4
0.4355811868,5
0.436,4
0.437,3
0.437,2
0.438,1
0.438,0
0.4456001528,1
0.446,0
0.4484639668,1
0.4489589968,2
0.449,1
0.4494872008,2
0.4498813538,3
0.45,2
0.45,1
0.4505292558,2
0.4509042848,3
0.451,2
0.4514070928,3
0.4517670268,4
0.452,3
0.452,2
0.4522219388,3
0.4525865008,4
0.4529182498,5
0.453,4
0.453,3
0.4534425348,4
0.4538024488,5
0.454,4
0.4546530338,5
0.455,4
0.455,3
0.4552155938,4
0.4555829018,5
0.4559169918,6
0.456,5
0.456,4
0.4565121708,5
0.4569002388,6
0.457,5
0.4574876108,6
0.4578580338,7
0.458,6
0.458,5
0.4583993258,6
0.4587662058,7
0.459,6
0.459,5
0.4592712288,6
0.4596979468,7
0.46,6
0.461,5
0.461,4
0.4614023308,5
0.4618344188,6
0.462,5
0.462,4
